city,mean_2024,std_2024,sem_2024,count_2024,mean_2025,std_2025,sem_2025,count_2025
Arlington Heights,389526.46436474746,162006.96587547185,11691.845669849774,192,392120.54099872406,2865.574487105835,827.2201007567388,12
Bloomingdale,378933.4476003386,149089.60495489172,15216.394087191808,96,378890.08383389626,2249.8491634358716,649.4755100728775,12
Bolingbrook,358703.37386984285,100140.15187191105,8017.628820505078,156,363288.3989426161,0.23296808869058921,0.06725209435905215,12
Buffalo Grove,385149.4952449955,157809.69045439296,16106.384086659333,96,386155.28776457784,7189.841959006426,2075.528595231613,12
Carol Stream,328011.1486954686,114517.10855286478,11687.85344889292,96,328498.8163505808,2952.679688837369,852.3652065904978,12
Chicago Heights,166978.55012940435,42324.309662325846,4617.960780103786,84,168746.78620334054,106.08884441784122,30.625211441328478,12
Country Club Hills,191620.97306502197,53119.699896480626,5795.834420689533,84,192100.20854773084,4132.675983116404,1193.0007956628785,12
Darien,393454.50054494635,158700.0740683936,16197.258483727532,96,393944.9714589561,3613.4837790706547,1043.1229162793943,12
Deerfield,595628.1155738642,230906.06662611922,25193.917350921616,84,589417.9218342898,12323.245314240137,3557.414499733169,12
Downers Grove,423956.7904261391,222436.86139367768,16052.997725416912,192,423391.42404415953,327.0905144021426,94.42289826972511,12
Dyer,349083.82644370303,89061.45943636172,9717.401889770636,84,349674.1611452774,896.6537961018888,258.8416552746627,12
Elk Grove Village,328758.3405105088,104600.76404188426,10675.770775328292,96,329750.371471221,2061.8999140013157,595.2192351953629,12
Flossmoor,289231.30732824054,77259.61548750379,8429.71514606354,84,290299.64943765226,827.9151363948962,238.99851343187953,12
Frankfort,431214.2127648599,118676.57323249929,12948.67571561662,84,433716.7341105688,4970.769451238118,1434.937540375948,12
Gary,84679.14412429357,38722.175254477814,1889.4486827785393,420,87048.59250061668,112.96790667306662,32.61102566374177,12
Glen Ellyn,461758.18462627934,238820.40014222678,24374.50502148995,96,456283.8248930064,236.01079146219084,68.13044699117626,12
Glendale Heights,262521.9664121336,76455.12347503754,7803.16836397191,96,263905.00357170065,1401.5957916493046,404.6058538018863,12
Glenwood,177176.40477722287,41883.73921156706,4936.046002991328,72,179375.63907006977,2299.352010378856,663.7657510769699,12
Griffith,225745.23568699855,48729.291598453296,5316.801602654474,84,226114.13587964,280.28201616904505,80.9104487421046,12
Hammond,179229.7936961003,22330.26518514457,1943.600110149547,132,180611.62065328553,29.691490467310054,8.571195006971333,12
Hanover Park,290377.65041101945,54172.842002014375,5910.741644883666,84,293689.05713622546,213.8446342130389,61.731628563827535,12
Hazel Crest,169362.09295764807,45462.24418442772,4960.337505659666,84,170932.57605599376,110.89964511722805,32.01396998073279,12
Highland,259642.57093224753,53974.22691077673,5889.070961794211,84,260214.95392560403,123.39432505943374,35.62087339476813,12
Highland Park,595762.3069433019,286290.63338395284,29219.415413703828,96,594428.2041657714,2822.6792033054157,814.8372989321701,12
Highwood,432332.9867396758,148867.58459910576,17544.213094814957,72,427320.85322478606,1844.6444168274286,532.5029753072281,12
Hoffman Estates,287997.35028907284,101876.24000306653,10397.700205034533,96,286705.64295944286,4381.364118530785,1264.790876625758,12
Homer Glen,472884.82933434896,75078.22575907946,8848.053758949936,72,474893.43316477607,126.46620518922694,36.507648804695314,12
Homewood,226792.4032242012,61930.04831608115,6757.122242874151,84,226613.4430444805,231.27168578228546,66.76238502117053,12
Itasca,422614.92951907584,140894.52167543102,14851.586611144166,90,429437.4959268879,9410.985092149498,2716.717388146034,12
Lake Forest,923268.8282047365,347750.84001217847,37942.72731762585,84,919204.6795791116,5754.617407065669,1661.214954526335,12
Lake Station,146596.47917234135,21499.470227780377,2775.5696714825194,60,146467.22982132377,477.1542532226539,137.74256827153704,12
Lansing,174993.2062761574,59293.37442159486,6051.604685862461,96,176683.76572279164,489.9244911895026,141.4290184354249,12
Lemont,484675.4669713965,140989.84061121754,15383.252781444366,84,484788.6245297683,1391.9722847831379,401.82778666202154,12
Lincolnshire,632120.2781024365,175818.3365473609,19183.353233083384,84,630504.673926631,10206.780046212853,2946.443603620146,12
Lisle,383754.4097722562,173486.1286768153,17706.353862875905,96,380369.19555449864,952.4993608586229,274.96288119733623,12
Lockport,348419.2215859018,82006.85504254054,8947.681446136025,84,349600.5012082719,300.69787186238443,86.80399863224763,12
Lombard,334569.66956327617,118941.43077421845,12139.408944725148,96,334675.95891427883,514.6252582049991,148.55951567821845,12
Matteson,252774.75587358722,74179.1170685362,8093.605213132331,84,254808.11334793447,2417.249432320032,697.7998052242203,12
Medinah,505778.90194066655,92722.3563719287,11970.404734986301,60,510460.9872571344,1831.6777024184264,528.7598072799569,12
Mokena,398106.4962088338,112152.3816630799,12236.828055729547,84,397288.08928841026,307.72792460220484,88.83340005312391,12
Mount Prospect,361509.48361994186,129065.70373508168,13172.71322684063,96,362375.7256093384,3611.5071549556146,1042.5523140469418,12
Munster,356883.0611507819,127163.39898204383,13874.664320549673,84,352913.85567935323,9379.295790619963,2707.56947476178,12
Naperville,469000.35383870994,197775.8831716915,11904.709207707752,276,474736.7469972708,358.4734447446324,103.48236991032297,12
Northbrook,549938.4612241278,228922.8990400228,23364.345545280208,96,552310.3933286032,4996.017813519984,1442.2261147559643,12
Olympia Fields,311908.00875346543,37791.760958423154,4723.970119802894,64,316967.42084958183,245.99504579736663,71.01265295521198,12
