city,mean_2024,min_2024,max_2024,mean_2025,min_2025,max_2025
Algonquin,362427.7046545508,243169.517021618,523154.9429804771,364174.6185505143,353859.60655299155,365829.32914791803
Antioch,302951.5477190188,196228.00147501705,439009.66973398096,304485.91447119444,295032.92337643733,306476.95868344494
Big Rock,351251.8936223852,330224.6656049648,366605.4631570119,352871.5925804127,352867.08216723375,352888.16261735716
Bourbonnais,269939.8652924918,193045.9472124524,374902.5931959417,271746.94642335817,258565.40957140055,274744.3757396203
Bristol,383986.9566581189,303987.7753936909,517959.27786131465,381001.2735802404,380388.34428498877,383445.1859491691
Burlington,274736.0805110308,262909.4242983682,284096.55225681927,272973.3014856822,271352.3516407953,273337.4412338036
Channahon,348945.8872981358,255400.30723741415,416510.8473666377,352352.236503196,345443.9195899988,353770.79258740024
Crystal Lake,352374.79106007545,140606.42968230022,557017.4916267749,355720.0176687541,354582.24769596447,362763.8444573225
Elburn,408170.30382994266,255541.1489581672,540410.2939023636,411365.8060498988,392616.1805494875,415993.2628750447
Elgin,430057.83518753794,281413.72483895946,581094.4398610109,435579.10523637343,432544.6966845495,450253.576636554
Elwood,306389.21501657047,281382.44912662584,348222.41872312705,307083.8441762572,306896.938778101,307820.286919953
Fox Lake,260523.3642033487,79892.10789800582,426099.0389682967,262483.469842586,262243.66837574437,264328.7590759585
Gilberts,362923.1238175625,251301.65720721745,521221.2893635822,368015.44932614034,364352.28004724556,368818.7650547718
Grant Park,265859.91129399306,249398.0022644729,273470.6543928617,265533.4356002295,265490.13592336286,265703.9792007476
Hampshire,349247.5669971638,242912.65239668355,472045.6103790898,353842.4536922009,353225.13292001927,356597.12644997425
Hebron,309579.9133561332,199019.4854056056,426013.6648299202,312298.4570099218,297459.00441882794,315708.9455437479
Huntley,386194.84786269214,246059.7226983259,528455.5209251262,391903.9516844561,389406.11770495586,404451.3488075555
Island Lake,266729.3382731904,204186.76197978816,386761.1972867786,266492.3400223356,253519.9145645234,269168.7673451437
Kenosha,259484.31691406155,183226.92788092952,450172.858099696,261784.80194516483,261585.61612315456,263120.87172355934
Lake in the Hills,327115.1794257235,198763.9351597149,455415.5323965955,329007.9938229899,319838.5517046503,330549.1566119244
Lakeside,861087.3816271691,722832.0430734941,1009884.1601580164,866388.7340693056,849911.2828540867,869887.8527064543
Lindenhurst,314992.6927730263,211997.0094691917,484347.11248185806,319036.05837939825,317029.6549652289,328722.9816574855
Lowell,273832.56773193314,141501.63096549807,410363.27533662686,273913.2713252393,271430.6978234961,274324.68278992426
Manteno,299801.1368219061,200513.68407517957,402822.4058464146,302559.5642171928,301592.17504171113,308544.77536257054
Maple Park,368944.72817204945,341064.64786554244,408695.679789151,367005.9036887583,363123.5034163508,367734.832223997
McHenry,286237.12471103057,176877.96221949696,429062.3113572181,290283.75013096567,289294.61099607026,295779.5020423802
Michigan City,256161.79305314354,144210.48588761876,588254.9054046118,257124.51120577464,252419.6902245836,258130.42919101001
Minooka,332743.2460760282,220447.80293339727,436279.95768368576,335151.8024505132,322950.9116039706,337836.867662663
Momence,156475.7338418806,124748.33676646509,190588.18366088803,156912.6229399228,156248.3425680343,157072.69742483448
New Buffalo,666550.6817832192,385134.796623176,1376042.7552879553,674999.8984204098,673971.5870844283,681248.5372946642
Plano,291738.18779306684,205497.2480178566,398150.1518750285,295509.0243796864,285762.810594667,297389.7352916197
Pleasant Prairie,391272.1827164013,231460.95362720988,614905.7814342105,393338.3701643323,390144.0549786559,409091.81818466616
Round Lake,242880.8281176806,119555.95205809444,353013.15442151454,245768.03286709407,244962.42518684495,245900.0694840099
Schneider,162080.87817438296,152836.3873846331,168999.79500725103,164531.994249304,163356.3467552069,164852.35265196086
Spring Grove,375413.96279803483,195429.03198934207,515197.40877701616,378312.20916607435,377936.17382306873,379920.81283337227
Sugar Grove,377475.49661258864,267702.9431531313,518429.9537603532,382403.09667271393,379908.8904027221,394010.9610478929
Union Pier,717997.3763153895,541911.7436472275,945410.1475195636,730438.4367910562,710005.9646390721,734300.0771236359
Valparaiso,300321.1214748919,147769.55642063322,505992.7387840115,298768.8223888585,277557.13277914026,303028.3146799578
Wadsworth,339845.65181063395,207385.0675361003,575298.5152531508,341228.4743440189,338531.77039938356,353700.6089954398
Westville,299379.0495838782,194262.2310158956,384234.62849345896,298646.4107297666,296184.4497948843,299212.15370150836
Wilmington,226016.5158406237,114082.19128255705,327579.3482798124,226813.03153584918,225962.55063282792,230922.7125195223
Winthrop Harbor,257961.16560597238,168580.10732616248,338382.9814463223,261844.496549863,259653.69277856866,262377.791490244
Yorkville,321485.6068835698,146560.15730376876,496704.417541244,325990.3100384449,322599.51997371763,342986.8151396214
Zion,218768.17854476892,160461.78264981284,274465.2762328307,224243.11954990894,220345.1892524869,224961.9381961693
